source_dataset,source_record_id,bindingdb_reactant_set_id,bindingdb_monomer_id,target_name,target_organism,uniprot_primary_id,smiles_raw,smiles_canonical,ic50_nm,pIC50,publication_date,bindingdb_date,year,curation_source,article_doi,pmid,chembl_id
bindingdb_articles,3775,3775,3003,Epidermal growth factor receptor,Homo sapiens,P00533,Nc1ncnc2n(nc(-c3ccccc3)c12)-c1ccccc1,Nc1ncnc2c1c(-c1ccccc1)nn2-c1ccccc1,800.0,6.096910013008056,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,CHEMBL122243
bindingdb_articles,3776,3776,3004,Epidermal growth factor receptor,Homo sapiens,P00533,Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1,Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1,220.0,6.657577319177793,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3777,3777,3005,Epidermal growth factor receptor,Homo sapiens,P00533,Nc1ncnc2n[nH]c(Nc3cccc(Cl)c3)c12,Nc1ncnc2n[nH]c(Nc3cccc(Cl)c3)c12,160.0,6.795880017344075,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3778,3778,3006,Epidermal growth factor receptor,Homo sapiens,P00533,N(c1[nH]nc2ncnc(Nc3ccccc3)c12)c1ccccc1,c1ccc(Nc2ncnc3n[nH]c(Nc4ccccc4)c23)cc1,58.0,7.236572006437063,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3779,3779,3007,Epidermal growth factor receptor,Homo sapiens,P00533,Clc1cccc(Nc2[nH]nc3ncnc(Nc4ccccc4)c23)c1,Clc1cccc(Nc2[nH]nc3ncnc(Nc4ccccc4)c23)c1,84.0,7.075720713938118,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3780,3780,3008,Epidermal growth factor receptor,Homo sapiens,P00533,Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,Clc1cccc(Nc2ncnc3n[nH]c(Nc4cccc(Cl)c4)c23)c1,33.0,7.481486060122112,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3807,3807,3009,Epidermal growth factor receptor,Homo sapiens,P00533,Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1,Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1,130.0,6.886056647693163,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3808,3808,3010,Epidermal growth factor receptor,Homo sapiens,P00533,Cc1cccc(Nc2ncnc3n[nH]c(Nc4cccc(Cl)c4)c23)c1,Cc1cccc(Nc2ncnc3n[nH]c(Nc4cccc(Cl)c4)c23)c1,130.0,6.886056647693163,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3809,3809,3011,Epidermal growth factor receptor,Homo sapiens,P00533,COc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,COc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,30.0,7.522878745280337,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3810,3810,3012,Epidermal growth factor receptor,Homo sapiens,P00533,Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,8.0,8.096910013008056,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3819,3819,3013,Epidermal growth factor receptor,Homo sapiens,P00533,COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.0,8.096910013008056,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3820,3820,3014,Epidermal growth factor receptor,Homo sapiens,P00533,Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,1.0,9.0,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3822,3822,3016,Epidermal growth factor receptor,Homo sapiens,P00533,Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.0,8.301029995663981,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3839,3839,3017,Epidermal growth factor receptor,Homo sapiens,P00533,CN(C)c1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,CN(C)c1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,29.0,7.537602002101044,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3840,3840,3018,Epidermal growth factor receptor,Homo sapiens,P00533,Clc1cccc(Nc2ncnc3n[nH]c(NCc4ccccc4)c23)c1,Clc1cccc(Nc2ncnc3n[nH]c(NCc4ccccc4)c23)c1,7.0,8.154901959985743,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3841,3841,3019,Epidermal growth factor receptor,Homo sapiens,P00533,Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,26.0,7.585026652029182,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3842,3842,3020,Epidermal growth factor receptor,Homo sapiens,P00533,COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.0,8.096910013008056,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
bindingdb_articles,3859,3859,3021,Epidermal growth factor receptor,Homo sapiens,P00533,COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,7.0,8.154901959985743,10/24/1997,1/11/2005,1997,Curated from the literature by BindingDB,10.1021/jm970124v,9357527,
