source_dataset,source_record_id,smiles_canonical,ic50_nm,pIC50,year,year_source,year_confidence,molecule_chembl_id,document_chembl_id,bindingdb_reactant_set_id
chembl,32260,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,7.387216143280264,2002.0,document_chembl_id,0.95,CHEMBL68920,CHEMBL1134862,
chembl,32263,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,300.0,6.522878745280337,2002.0,document_chembl_id,0.95,CHEMBL68920,CHEMBL1134862,
chembl,32265,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7820.0,5.106793246940152,2002.0,document_chembl_id,0.95,CHEMBL68920,CHEMBL1134862,
chembl,32267,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,6.769551078621726,2002.0,document_chembl_id,0.95,CHEMBL69960,CHEMBL1134862,
chembl,32270,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,7.397940008672037,2002.0,document_chembl_id,0.95,CHEMBL69960,CHEMBL1134862,
chembl,32272,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,440.0,6.356547323513812,2002.0,document_chembl_id,0.95,CHEMBL69960,CHEMBL1134862,
chembl,32680,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,5.031517051446064,2003.0,document_chembl_id,0.95,CHEMBL137635,CHEMBL1145114,
chembl,32780,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,4.017728766960432,1989.0,document_chembl_id,0.95,CHEMBL77085,CHEMBL1124610,
chembl,33406,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0,5.274905478918531,2002.0,document_chembl_id,0.95,CHEMBL443268,CHEMBL1134862,
chembl,34041,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,6.903089986991944,1989.0,document_chembl_id,0.95,CHEMBL76589,CHEMBL1124610,
chembl,34049,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,4.455931955649724,1989.0,document_chembl_id,0.95,CHEMBL76904,CHEMBL1124610,
chembl,34669,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,9.346787486224656,2002.0,document_chembl_id,0.95,CHEMBL304271,CHEMBL1134862,
chembl,35294,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,5.0,1989.0,document_chembl_id,0.95,CHEMBL296407,CHEMBL1124610,
chembl,35296,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,4.221848749616356,1989.0,document_chembl_id,0.95,CHEMBL309625,CHEMBL1124610,
