smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max,n_sources
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,0.1,10.0,2,1995,1996,1
Nc1ccc2cncnc2c1,0.1,10.0,1,1996,1996,1
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,0.12,9.920818753952375,2,1995,1996,1
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.13,9.886056647693163,2,1996,1998,1
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.13,9.886056647693163,2,1996,1997,1
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.17,9.769551078621726,1,2001,2001,1
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,0.17,9.769551078621726,2,1995,1996,1
CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,0.17,9.769551078621726,1,1996,1996,1
OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.18,9.744727494896694,1,1998,1998,1
OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.19,9.721246399047171,1,1998,1998,1
CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,0.19,9.721246399047171,1,1998,1998,1
CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.22,9.657577319177793,1,1998,1998,1
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.24,9.619788758288394,1,1997,1997,1
COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0.24,9.619788758288394,1,1996,1996,1
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,0.25,9.602059991327963,1,1996,1996,1
Brc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)nc23)c1,0.25,9.602059991327963,1,1997,1997,1
O=C(O)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.27,9.568636235841012,1,1998,1998,1
Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,0.27,9.568636235841012,1,1999,1999,1
O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.28,9.55284196865778,1,1998,1998,1
O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.28,9.55284196865778,1,1997,1997,1
Cc1nc2cc3ncnc(Nc4cccc(Br)c4)c3cc2[nH]1,0.29,9.537602002101044,1,1996,1996,1
Brc1cccc(Nc2ncnc3cc4cn[nH]c4cc23)c1,0.34,9.468521082957745,1,1996,1996,1
Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,0.35,9.455931955649724,1,1996,1996,1
OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.35,9.455931955649724,1,1998,1998,1
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,0.37,9.431798275933005,1,1997,1997,1
O=C(O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.37,9.431798275933005,1,2001,2001,1
C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.43,9.366531544420413,1,2001,2001,1
CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.44,9.356547323513812,1,2001,2001,1
CN(CC(=O)O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.44,9.356547323513812,1,1998,1998,1
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,0.44,9.356547323513812,3,1996,1999,1
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,0.44,9.356547323513812,3,1996,1999,1
CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,0.45,9.346787486224656,1,1998,1998,1
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,9.346787486224656,1,2002,2002,1
Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,0.47,9.327902142064282,1,1999,1999,1
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.5,9.301029995663981,1,2001,2001,1
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,0.51,9.292429823902063,1,1997,1997,1
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,0.56,9.2518119729938,1,2001,2001,1
CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.56,9.2518119729938,1,1998,1998,1
O=C(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.61,9.214670164989233,1,1997,1997,1
O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,0.61,9.214670164989233,1,2001,2001,1
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,0.65,9.187086643357144,1,1998,1998,1
COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,0.67,9.173925197299173,1,1996,1996,1
O=C(/C=C\Cl)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.69,9.161150909262744,1,2001,2001,1
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,0.69,9.161150909262744,1,1996,1996,1
CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,0.72,9.142667503568731,1,1997,1997,1
CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.73,9.136677139879545,1,2001,2001,1
[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,0.74,9.130768280269024,1,1997,1997,1
C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.76,9.119186407719209,1,2001,2001,1
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,0.76,9.119186407719209,1,1997,1997,1
Brc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)cc23)c1,0.78,9.10790539730952,1,1998,1998,1
Nc1ccc2ncncc2c1,0.79,9.102372908709558,1,1996,1996,1
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.79,9.102372908709558,3,1995,2008,1
Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,0.8,9.096910013008056,1,1997,1997,1
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,0.81,9.09151498112135,1,1997,1997,1
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,0.81,9.09151498112135,1,2001,2001,1
Brc1cccc(Nc2ncnc3cc(NCCc4cnc[nH]4)ncc23)c1,0.91,9.040958607678906,1,1997,1997,1
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.91,9.040958607678906,1,2001,2001,1
OCC(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.92,9.036212172654444,1,1997,1997,1
OCCN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.93,9.031517051446064,1,1998,1998,1
CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1,0.95,9.022276394711152,1,1997,1997,1
COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,0.96,9.017728766960431,1,1996,1996,1
Nc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F,1.0,9.0,1,1999,1999,1
Cc1cccc(Nc2cc(NCCO)ncn2)c1,1.0,9.0,1,1999,1999,1
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,1.0,9.0,1,1997,1997,1
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,1.0,9.0,1,1998,1998,1
CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.1,8.958607314841775,1,1998,1998,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1.1,8.958607314841775,1,2002,2002,1
CNc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,1.1,8.958607314841775,1,1999,1999,1
CNc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cn1,1.1,8.958607314841775,1,1998,1998,1
CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.1,8.958607314841775,1,2001,2001,1
C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.1,8.958607314841775,1,2001,2001,1
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.2,8.920818753952375,3,2001,2008,1
CN(C)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.2,8.920818753952375,1,1998,1998,1
COc1ccc2[nH]c3ncnc(Nc4cccc(Br)c4)c3c2c1,1.2,8.920818753952375,1,1999,1999,1
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,1.2,8.920818753952375,1,1998,1998,1
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1.2,8.920818753952375,1,2002,2002,1
CC(=O)C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.2,8.920818753952375,1,2001,2001,1
OCCN(CCO)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1.2,8.920818753952375,1,1997,1997,1
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,1.24,8.906578314837764,2,1996,1999,1
Cc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)cc23)c1,1.3,8.886056647693163,1,1998,1998,1
CN(C)CCn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,1.32,8.87942606879415,1,1996,1996,1
CNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,1.4,8.853871964321762,1,1997,1997,1
C=CS(=O)(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.4,8.853871964321762,1,2001,2001,1
O=S(=O)(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1.4,8.853871964321762,1,1997,1997,1
CN(C)CCCNC(=O)/C=C/C(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.45,8.838631997765026,1,2001,2001,1
Nc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,1.5,8.823908740944319,1,1997,1997,1
O=C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1.5,8.823908740944319,1,1997,1997,1
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1.5,8.823908740944319,1,2001,2001,1
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,1.5,8.823908740944319,1,1998,1998,1
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,1.5,8.823908740944319,1,1998,1998,1
CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.5,8.823908740944319,1,2001,2001,1
OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,1.6,8.795880017344075,1,1997,1997,1
C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.6,8.795880017344075,1,2001,2001,1
C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.6,8.795880017344075,1,2001,2001,1
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,1.7,8.769551078621726,1,1998,1998,1
CN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.7,8.769551078621726,1,1998,1998,1
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,1.7,8.769551078621726,1,1996,1996,1
O=C(/C=C/C(F)(F)F)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.75,8.756961951313706,1,2001,2001,1
CN(C)CCCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.8,8.744727494896694,1,1998,1998,1
Cc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,1.8,8.744727494896694,1,1998,1998,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,8.744727494896694,1,2002,2002,1
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,1.8,8.744727494896694,1,1999,1999,1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,2.3,8.721848749616356,4,2004,2011,1
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,1.9,8.721246399047171,1,1997,1997,1
O=C(C#CCO)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.0,8.698970004336019,1,2001,2001,1
Nc1ccc2c(Nc3cccc(F)c3)ncnc2c1,2.0,8.698970004336019,1,1996,1996,1
Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,2.0,8.698970004336019,1,1997,1997,1
Cc1cccc(Nc2ncnc3c2sc2ccc(N)cc23)c1,2.1,8.67778070526608,1,1999,1999,1
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,2.3,8.638272163982407,1,1997,1997,1
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,2.3,8.638272163982407,1,1997,1997,1
COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1,2.3,8.638272163982407,1,1996,1996,1
CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.4,8.619788758288394,1,2001,2001,1
COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,2.6,8.585026652029182,1,1996,1996,1
CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,2.6,8.585026652029182,1,1997,1997,1
