smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,n_sources,source_datasets,year_source_count,year_sources,year_confidence_mean,year_min,year_max,temporal_year_min,temporal_year_max,temporal_year_coverage_rate
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1,0.0079432823472428,11.1,1,1,excape_chembl20,0,,0.0,,,,,0.0
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0.01,11.0,2,2,excape_chembl20;papyrus,1,Year,0.45,1994.0,1994.0,1994.0,1994.0,0.5
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,0.02580247380988655,10.58855,2,2,excape_pubchem;papyrus,1,Year,0.45,1994.0,1994.0,1994.0,1994.0,0.5
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CC(C(=O)NCCC#N)N(C)C1,0.0274789415310239,10.561,1,1,papyrus,1,Year,0.9,2004.0,2004.0,2004.0,2004.0,1.0
CN(C)Cc1ccc(NC(=O)c2sc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2N)cc1,0.0339625272590408,10.469,1,1,papyrus,1,Year,0.9,2007.0,2007.0,2007.0,2007.0,1.0
CN(C)CCCNS(=O)(=O)c1ccc(NC(=O)c2sc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2N)cc1,0.0429536426764886,10.367,1,1,papyrus,1,Year,0.9,2007.0,2007.0,2007.0,2007.0,1.0
CN(Cc1ccc(NC(=O)c2sc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2N)cc1)CC1CCCO1,0.0465586093522958,10.332,1,1,papyrus,1,Year,0.9,2007.0,2007.0,2007.0,2007.0,1.0
COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCC(O)(O)CC1,0.0500034534976978,10.301,1,1,papyrus,1,Year,0.9,1999.0,1999.0,1999.0,1999.0,1.0
Nc1c(C(=O)Nc2ccc(CN3CCCCC3)cc2)sc2ncnc(Nc3ccc(F)c(Cl)c3)c12,0.0529663443891658,10.276,1,1,papyrus,1,Year,0.9,2007.0,2007.0,2007.0,2007.0,1.0
CN(CCc1ccc(NC(=O)c2sc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2N)cc1)C1CCOCC1,0.0639734835482647,10.194,1,1,papyrus,1,Year,0.9,2007.0,2007.0,2007.0,2007.0,1.0
CN1CCN(Cc2ccc(NC(=O)c3sc4ncnc(Nc5ccc(F)c(Cl)c5)c4c3N)cc2)CC1,0.0669884609416527,10.174,1,1,papyrus,1,Year,0.9,2007.0,2007.0,2007.0,2007.0,1.0
COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,0.07219424690393436,10.1415,2,2,excape_chembl20;papyrus,1,Year,0.45,1996.0,1996.0,1996.0,1996.0,0.5
CCN1CCN(Cc2ccc(C(=O)NC3C4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5C34)cc2C(F)(F)F)CC1,0.0803526122185616,10.095,1,1,papyrus,1,Year,0.9,2014.0,2014.0,2014.0,2014.0,1.0
Nc1c(C(=O)Nc2ccc(CN3CCOCC3)cc2)sc2ncnc(Nc3ccc(F)c(Cl)c3)c12,0.0859013521505394,10.066,1,1,papyrus,1,Year,0.9,2007.0,2007.0,2007.0,2007.0,1.0
COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.0,1,1,chembl,1,document_chembl_id,0.95,2016.0,2016.0,2016.0,2016.0,1.0
Nc1ccc2cncnc2c1,0.1,10.0,2,2,bindingdb_articles;chembl,2,document_chembl_id;publication_date,0.95,1996.0,1996.0,1996.0,1996.0,1.0
