smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count_x,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket,parent_seed,action_name,action_category,action_rule_source,reaction_family,synthetic_route,synthetic_feasibility_score,medchem_realism_score,transformation_confidence_score,preserves_scaffold,parent_similarity,property_support_score,category_priority_score,generator_priority_score,adaptive_action_prior,hard_constraint_pass,hard_constraint_notes,introduced_warhead,warhead_retained,alert_count,severe_alert_count_y,structural_guidance_score,structure_guidance_reference,structure_guidance_backend,ancestor_seed,lineage_depth,lineage_path,parent_predicted_pIC50,parent_QED,parent_final_score,parent_verified_reward,parent_reward_hacking_risk,ancestor_predicted_pIC50,ancestor_QED,ancestor_final_score,ancestor_verified_reward,ancestor_reward_hacking_risk,delta_predicted_pIC50,delta_QED,delta_final_score,delta_verified_reward,improved_over_parent_final_score,improved_over_parent_potency,improved_over_parent_qed,improved_over_parent_verified_reward,parent_improvement_count,lineage_root,generator_composite_score
Cc1c(F)cccc1Nc1c(-c2ccncc2OCC(C)(C)F)[nH]c2c1C(=O)NCC2,9.312988403947166,0.09312551413604973,0.5347912011751007,426.46700000000016,4.680620000000003,79.04,3,4,4,6,0.30434782608695654,0,0.0,2.909780000000001,False,,0,,0,,0,,0.855072463768116,0.7615930735930736,1.0,0.18478260869565216,Afatinib,0.14492753623188404,0.8152173913043479,0.8880592410915568,0.63222054526169,1.0,0.9538043478260869,0.63222054526169,0.8685210335448335,1.0,0.36777945473831,0.63222054526169,0.026050943395631077,9.173300132743092,0.12875898378379624,-0.0,0.5597826086956521,9.861841725222542,0.0,0.0,0.0,0.08472431842288748,0.0,0.08472431842288748,0.0,low,,9.777117406799654,True,pass,False,,0.9853760445682451,0.7012534818941504,0.6142061281337048,0.02576601671309192,0.8788300835654597,0.9623955431754875,0.841225626740947,0.8119777158774373,0.6809540389972145,0.773642061281337,10.678986572019198,1,0.0,10.705487880337259,0,1,0,0,lead,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,alcohol_fluorination,functional_group_swap,reaction_transform,functional_group_swap,halogen_exchange,0.74,0.66,0.7,True,0.855072463768116,0.7476187380560619,0.835,0.8868805473369185,0.7543213928155906,True,,False,True,0,0,0.5477354796802559,Osimertinib,reference_ligand,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,1,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2 -> Cc1c(F)cccc1Nc1c(-c2ccncc2OCC(C)(C)F)[nH]c2c1C(=O)NCC2,9.64492553317416,0.5102437252597349,10.698916496302727,9.748407601490852,0.0,9.64492553317416,0.5102437252597349,10.698916496302727,9.748407601490852,0.0,-0.3319371292269935,0.02454747591536577,0.006571384034531391,0.02870980530880196,True,False,True,True,3,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,11.917048341002484
CCOc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.388225679052562,0.020485921297760126,0.457017806910887,375.432,3.5641000000000007,95.94999999999999,3,6,4,7,0.19047619047619047,0,0.0,3.019546666666667,False,,0,,0,,0,,0.8620689655172413,0.7561325114179833,1.0,0.20238095238095238,Afatinib,0.13793103448275867,0.7976190476190477,0.9577162748547084,0.5852233835445777,1.0,0.9494047619047619,0.5852233835445777,0.873086105076012,1.0,0.4147766164554223,0.5852233835445777,0.1128402263715953,9.357496797105922,0.02313342595850605,-0.0,0.5513546798029557,9.931984902867383,0.0,0.0,0.0,0.14347077056927787,0.0,0.14347077056927787,0.0,low,,9.788514132298104,True,pass,False,,0.9965181058495822,0.44986072423398327,0.451949860724234,0.020891364902506964,0.8788300835654597,0.825208913649025,0.841225626740947,0.9909470752089137,0.6103760445682452,0.7177924791086351,10.664436156349277,2,0.0,10.649865107228466,0,2,0,0,lead,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,methoxy_to_ethoxy,williamson,reaction_transform,williamson,o_alkylation,0.83,0.79,0.82,True,0.8620689655172413,0.7091548024177867,0.744,0.8978593709430729,0.7373522057775284,True,,False,True,0,0,0.6168608277378466,Afatinib,reference_ligand,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1 -> CCOc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.22367882103711,0.4881157070111666,10.346368575698754,9.382854040274468,0.0,9.22367882103711,0.4881157070111666,10.346368575698754,9.382854040274468,0.0,0.1645468580154521,-0.031097900100279574,0.3034965315297118,0.40566009202363595,True,True,False,True,3,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,11.879914656470433
O=C(/C=C\F)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.972629986228892,0.10010558860540765,0.6673221117389069,387.2120000000001,4.125700000000002,67.77000000000001,1,5,3,5,0.058823529411764705,0,0.0,2.348080000000001,False,,0,,0,,0,,0.8333333333333334,0.8024561403508772,1.0,0.33783783783783783,Sunvozertinib,0.16666666666666663,0.6621621621621622,0.7980835845334376,0.7267163922256294,1.0,0.9155405405405406,0.7267163922256294,0.8600851293249019,1.0,0.27328360777437055,0.7267163922256294,-0.082668726388619,8.82247160332078,0.3209924646800832,-0.0,0.5236486486486487,9.667112716649513,0.0,0.0,0.00015838290811146655,0.0,0.0,0.00015838290811146655,0.0,low,,9.666954333741401,True,pass,False,,0.8071030640668524,0.9129526462395543,0.8112813370473537,0.06685236768802229,0.8788300835654597,0.995125348189415,0.841225626740947,0.7862116991643454,0.680849582172702,0.7777158774373258,10.484132215256755,12,0.0,10.600213386666193,0,4,0,8,lead,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,halogen_swap_17_to_9,atom_swap,atom_edit,halogen_scan,late_stage_halogen_exchange,0.83,0.8,0.76,True,0.8333333333333334,0.7716698929442615,0.72,0.9056040184340585,0.6316470649435625,True,,False,True,0,0,0.7159573600628494,Osimertinib,reference_ligand,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1 -> O=C(/C=C\F)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.04532926941451,0.6397482009417655,10.448762104594683,9.447814977587928,0.0,9.04532926941451,0.6397482009417655,10.448762104594683,9.447814977587928,0.0,-0.07269928318561902,0.027573910797141332,0.15145128207150904,0.21913935615347313,True,False,True,True,3,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.8397373482782
CN(COCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.902024069699785,0.0429054870320233,0.6265265096325219,390.24100000000004,2.891000000000001,83.4,2,7,3,6,0.1875,0,0.0,2.4682733333333338,False,,0,,0,,0,,0.7678571428571429,0.7238780331242418,1.0,0.3287671232876712,Afatinib,0.2321428571428571,0.6712328767123288,0.8204721765025298,0.6996559905542974,1.0,0.9178082191780822,0.6996559905542974,0.8594840965587274,1.0,0.3003440094457026,0.6996559905542974,-0.0520158934082634,8.83766583915175,0.2750355096325218,-0.0,0.5558341487279843,9.668535497512256,0.0,0.0,0.0,0.0004300118071282749,0.0,0.0004300118071282749,0.0,low,,9.668105485705128,True,pass,False,,0.7694986072423399,0.8795264623955432,0.7705431754874652,0.2983983286908078,0.8788300835654597,0.9923398328690808,0.841225626740947,0.9519498607242339,0.697440807799443,0.7885097493036213,10.505464466871587,9,0.0,10.614317184869474,0,3,0,6,lead,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,linker_methylene_to_ether,linker_replacement,linker_replacement,linker_replacement,methylene_to_ether_linker_swap,0.7,0.68,0.64,True,0.7166666666666667,0.7633545666128806,0.843,0.8855888029661989,0.660672888112638,True,,False,True,0,0,0.7671778571977979,Afatinib,reference_ligand,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1 -> CN(COCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.147457523489962,0.5806128910852082,10.381091311821889,9.403354994955835,0.0,9.147457523489962,0.5806128910852082,10.381091311821889,9.403354994955835,0.0,-0.24543345379017723,0.045913618547313684,0.23322587304758535,0.264750490749293,True,False,True,True,3,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.830157265680846
CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,9.621394722166604,0.05505696532730995,0.4521900852216164,374.444,4.169100000000002,83.06,3,5,4,7,0.18181818181818182,0,0.0,3.01296,False,,0,,0,,0,,1.0,0.86495670995671,1.0,0.21518987341772153,Afatinib,0.0,0.7848101265822784,0.9918088048125341,0.5828214699488121,1.0,0.9462025316455696,0.5828214699488121,0.880208201601729,1.0,0.4171785300511879,0.5828214699488121,0.14880080428107356,9.53880927417564,0.018427903403434583,-0.0,0.2854430379746835,9.842680215553758,0.0,0.0,0.0,0.14647316256398485,0.0,0.14647316256398485,0.0,low,,9.696207052989772,True,pass,False,,0.9996518105849582,0.43558495821727017,0.46065459610027853,0.002437325905292479,0.8788300835654597,0.8165041782729805,0.841225626740947,0.9272284122562674,0.6065459610027855,0.7115598885793871,10.5705353687571,4,0.0,10.550078919285037,0,6,2,0,lead,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,methoxy_to_ethoxy,williamson,reaction_transform,williamson,o_alkylation,0.83,0.79,0.82,True,0.8333333333333334,0.7074071505932987,0.744,0.8967153229104481,0.7373522057775284,True,,False,True,0,0,0.6418217752774235,Afatinib,reference_ligand,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,0.2840852928202242,-0.0351680317068066,0.05935894125175345,0.17535380774022258,True,True,False,True,3,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,11.77878274694038
CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.621394722166604,0.05505696532730995,0.4521900852216164,374.444,4.169100000000002,83.06,3,5,4,7,0.18181818181818182,0,0.0,3.01296,False,,0,,0,,0,,1.0,0.86495670995671,1.0,0.21518987341772153,Afatinib,0.0,0.7848101265822784,0.9918088048125341,0.5828214699488121,1.0,0.9462025316455696,0.5828214699488121,0.880208201601729,1.0,0.4171785300511879,0.5828214699488121,0.14880080428107356,9.53880927417564,0.018427903403434583,-0.0,0.2854430379746835,9.842680215553758,0.0,0.0,0.0,0.14647316256398485,0.0,0.14647316256398485,0.0,low,,9.696207052989772,True,pass,False,,0.9996518105849582,0.43558495821727017,0.46065459610027853,0.002437325905292479,0.8788300835654597,0.8165041782729805,0.841225626740947,0.9272284122562674,0.6065459610027855,0.7115598885793871,10.5705353687571,3,0.0,10.550078919285037,0,5,2,0,lead,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,methoxy_to_ethoxy,williamson,reaction_transform,williamson,o_alkylation,0.83,0.79,0.82,True,0.8035714285714286,0.7074071505932987,0.744,0.893630995698278,0.7373522057775284,True,,False,True,0,0,0.6496368840906973,Osimertinib,reference_ligand,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.386549939172664,0.4855433472748625,10.549651298502416,9.57922670295292,0.0,9.386549939172664,0.4855433472748625,10.549651298502416,9.57922670295292,0.0,0.23484478299394063,-0.03335326205324607,0.0004276207826201528,0.1169803500368527,True,True,False,True,3,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,11.772082228157183
[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.101626233876978,0.055981107754834926,0.5172404728978485,365.426305334,4.756200000000003,62.83,2,4,4,6,0.14285714285714285,0,0.0,2.85284203556,False,,0,,0,,0,,0.8214285714285714,0.715247157841844,1.0,0.22784810126582278,Afatinib,0.1785714285714286,0.7721518987341772,0.86121978304086,0.624757566418432,1.0,0.9430379746835443,0.624757566418432,0.8572538310357091,1.0,0.37524243358156795,0.624757566418432,0.005287936006867833,9.017654572244725,0.10359988184956276,-0.0,0.5620027124773961,9.683257166571684,0.0,0.0,0.0,0.09405304197695995,0.0,0.09405304197695995,0.0,low,,9.589204124594724,True,pass,False,,0.9052924791086351,0.6782729805013927,0.6420612813370473,0.1048050139275766,0.8788300835654597,0.9547353760445683,0.841225626740947,0.9233983286908078,0.6603064066852368,0.7616643454038997,10.475624854593967,14,0.0,10.503201339079403,0,7,0,7,lead,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,alcohol_fluorination,functional_group_swap,reaction_transform,functional_group_swap,halogen_exchange,0.74,0.66,0.7,True,0.8214285714285714,0.7306130381220899,0.835,0.9000140990705899,0.7543213928155906,True,,False,True,0,0,0.716779327230384,Osimertinib,reference_ligand,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1 -> [2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.386549939172664,0.4855433472748625,10.549651298502416,9.57922670295292,0.0,9.386549939172664,0.4855433472748625,10.549651298502416,9.57922670295292,0.0,-0.2849237052956859,0.03169712562298599,-0.046449959423013,0.009977421641805151,False,False,True,True,2,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,11.754028939131288
COc1cnccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.046490554105569,0.02394449413993407,0.5381415377615177,363.396,4.151200000000002,75.72,2,5,4,6,0.15,0,0.0,2.839306666666667,False,,0,,0,,0,,0.8275862068965517,0.6878428938688972,0.977896170670722,0.2413793103448276,Osimertinib,0.1724137931034483,0.7586206896551724,0.8698614926284384,0.6367737432047322,1.0,0.9230773004168347,0.6367737432047322,0.8574281340625013,1.0,0.36322625679526777,0.6367737432047322,0.016577811421249367,9.010573812895668,0.12724553776151776,-0.0,0.5496464564607839,9.68746580711797,0.0,0.0,0.0,0.07903282099408472,0.0,0.07903282099408472,0.0,low,,9.608432986123885,True,pass,False,,0.8628133704735376,0.7263231197771588,0.6427576601671309,0.08495821727019498,0.7103064066852368,0.9658774373259053,0.841225626740947,0.9867688022284122,0.6469359331476323,0.7416434540389971,10.463788926895129,16,0.0,10.498405130970681,0,11,0,5,lead,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,alcohol_fluorination,functional_group_swap,reaction_transform,functional_group_swap,halogen_exchange,0.74,0.66,0.7,True,0.8275862068965517,0.7366353454068503,0.835,0.8957349628480008,0.7543213928155906,True,,False,True,0,0,0.6657417446152567,Sunvozertinib,reference_ligand,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1 -> COc1cnccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.22367882103711,0.4881157070111666,10.346368575698754,9.382854040274468,0.0,9.22367882103711,0.4881157070111666,10.346368575698754,9.382854040274468,0.0,-0.177188266931541,0.05002583075035116,0.15203655527192694,0.22557894584941707,True,False,True,True,3,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,11.73641491169124
COc1ccccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.071690957623554,0.04596281364168381,0.5192265511151524,362.408,4.756200000000003,62.83,2,4,4,6,0.14285714285714285,0,0.0,2.83272,False,,0,,0,,0,,0.8148148148148148,0.7540868454661558,1.0,0.25301204819277107,Osimertinib,0.18518518518518523,0.7469879518072289,0.8607487698567099,0.6266238338825646,1.0,0.9367469879518072,0.6266238338825646,0.8560298979227704,1.0,0.3733761661174354,0.6266238338825646,0.0062918292452525115,9.002746737161027,0.10860426540086665,-0.0,0.557429718875502,9.668780721437397,0.0,0.0,0.0,0.09172020764679427,0.0,0.09172020764679427,0.0,low,,9.577060513790602,True,pass,False,,0.8826601671309192,0.682799442896936,0.645891364902507,0.12291086350974931,0.8788300835654597,0.9564763231197771,0.841225626740947,0.9446378830083565,0.6552228412256267,0.758983286908078,10.45504813090815,18,0.0,10.487840458080296,0,16,0,2,lead,COc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,alcohol_fluorination,functional_group_swap,reaction_transform,functional_group_swap,halogen_exchange,0.74,0.66,0.7,True,0.8148148148148148,0.7316414301273396,0.835,0.8972958572386575,0.7543213928155906,True,,False,True,0,0,0.7010650994508834,Osimertinib,reference_ligand,COc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,COc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1 -> COc1ccccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,-0.26561847172282604,0.031868434186729355,-0.0028795199529874083,0.05620726854105307,False,False,True,True,2,COc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,11.731816422432919
COc1ccccc1-c1cc2c(NC(CF)c3ccccc3)ncnc2[nH]1,9.071690957623554,0.04596281364168381,0.5192265511151524,362.408,4.756200000000003,62.83,2,4,4,6,0.14285714285714285,0,0.0,2.83272,False,,0,,0,,0,,0.8148148148148148,0.7540868454661558,1.0,0.25301204819277107,Osimertinib,0.18518518518518523,0.7469879518072289,0.8607487698567099,0.6266238338825646,1.0,0.9367469879518072,0.6266238338825646,0.8560298979227704,1.0,0.3733761661174354,0.6266238338825646,0.0062918292452525115,9.002746737161027,0.10860426540086665,-0.0,0.557429718875502,9.668780721437397,0.0,0.0,0.0,0.09172020764679427,0.0,0.09172020764679427,0.0,low,,9.577060513790602,True,pass,False,,0.8826601671309192,0.682799442896936,0.645891364902507,0.12291086350974931,0.8788300835654597,0.9564763231197771,0.841225626740947,0.9446378830083565,0.6552228412256267,0.758983286908078,10.45504813090815,17,0.0,10.487840458080296,0,15,0,2,lead,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,alcohol_fluorination,functional_group_swap,reaction_transform,functional_group_swap,halogen_exchange,0.74,0.66,0.7,True,0.8148148148148148,0.7316414301273396,0.835,0.89244682276731,0.7543213928155906,True,,False,True,0,0,0.6644409720237872,Osimertinib,reference_ligand,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> COc1ccccc1-c1cc2c(NC(CF)c3ccccc3)ncnc2[nH]1,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,-0.26561847172282604,0.031868434186729355,-0.0028795199529874083,0.05620726854105307,False,False,True,True,2,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,11.719879886821879
