parent_seed,n_generated,best_score,avg_score
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCOC1,1,9.574685759174084,9.574685759174084
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,6,9.548923299679013,9.182266835474989
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCCO1,4,9.525602796634267,9.291738498262328
C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,5,9.51517434434702,9.250853277127286
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,3,9.51080217955962,9.493310581581731
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCCO1,3,9.507519648613576,9.388227506371164
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,6,9.487138981040085,9.206503392177387
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCCN1,3,9.487036635210137,9.209771296078339
O=C(CCN1CCN(CO)CC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,9.484073947178231,9.484073947178231
C=CC(=O)NC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,5,9.467304108860182,9.147924744555032
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCC1,4,9.46490615534432,8.93748842064785
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCOC1,4,9.464143157099596,9.257045334780239
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCNC1,1,9.454268904622564,9.454268904622564
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNOCC1,1,9.454174364379083,9.454174364379083
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCOC1,1,9.444321767956822,9.444321767956822
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CCO1,1,9.430224089302886,9.430224089302886
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)COC1,1,9.337955695771376,9.337955695771376
O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,2,9.292022034091284,9.154262393342737
O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,2,9.254298302147156,9.10914483606918
C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5,9.17788354901848,9.139435966136636
C=CC(=N)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,3,9.115628948343312,8.989309046334844
OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7,9.09635176820489,8.975074860188705
NC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,2,9.066772593883888,9.00830587263826
NC(=O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,2,8.978160750437207,8.935049353295797
OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,3,8.92426399356931,8.89800365977847
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,2,8.90629624816224,8.89772378931827
OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,1,8.892571492954055,8.892571492954055
