smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket,parent_seed,round,closest_pose_reference,closest_pose_smiles,shape_similarity,protrude_similarity,usr_similarity,alignment_score_raw,alignment_score_norm,docking_rescore,docking_backend,structural_priority_score,structural_rank,closest_market_drug,closest_market_smiles
O=C(/C=C\F)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.008198305968923,0.0876310684407281,0.6673221117389069,387.2120000000001,4.125700000000002,67.77000000000001,1,5,3,5,0.0588235294117647,0,0.0,2.348080000000001,False,,0,,0,,0,,0.8333333333333334,0.7997338173018754,1.0,0.33783783783783783,Sunvozertinib,0.1666666666666666,0.6621621621621622,0.8157078285837212,0.7267163922256294,1.0,0.9155405405405406,0.7267163922256294,0.8644911903374728,1.0,0.2732836077743705,0.7267163922256294,-0.0650444823383354,8.87675170330783,0.3209924646800832,-0.0,0.5236486486486487,9.721392816636564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,,9.721392816636564,True,pass,False,,0.835,0.7925,0.7375,0.07875,0.8875,0.9925,0.845,0.855,0.660625,0.76625,10.514142816636562,2,0.0,10.640892816636562,0,1,0,1,lead,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5724437425977102,0.7529859788817725,0.759545316959218,114.7881184731506,0.8523831639418105,0.7159573600628494,reference_ligand,11.1778608366837,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1
COc1cc(C)c(C)cc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.298643741626208,0.0989752754503269,0.4560887691348292,388.471,4.395840000000003,83.06,3,5,4,6,0.217391304347826,0,0.0,3.0064733333333336,False,,0,,0,,0,,0.8035714285714286,0.7534126984126984,1.0,0.2441860465116279,Osimertinib,0.1964285714285714,0.7558139534883721,0.8803782425913231,0.5852152332805665,1.0,0.938953488372093,0.5852152332805665,0.8511367410609957,1.0,0.4147847667194335,0.5852152332805665,0.0389886687071033,9.150180828450717,0.0268568995696118,-0.0,0.5651370431893687,9.742174771209696,0.0,0.0,0.0,0.1434809583992919,0.0,0.1434809583992919,0.0,low,,9.598693812810405,True,pass,False,,0.9560669456066946,0.9476987447698744,0.9947698744769874,0.006276150627615,0.9748953974895398,0.8702928870292888,0.8158995815899581,0.7803347280334728,0.7702405857740585,0.8342050209205023,10.666463474138569,2,0.0,10.599739837915008,0,1,0,1,lead,CCOc1cc(C)c(C)cc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,3,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5639708517500897,0.763668715626011,0.677306968605816,114.02196544511426,0.8504861264440848,0.6982064665699179,reference_ligand,11.123394687842447,2,Osimertinib,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC
[2H]C([2H])([2H])Oc1cc(C)c(C)cc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.31124644191766,0.0839531218669017,0.453837758950271,391.4893053340001,4.395840000000003,83.06,3,5,4,6,0.217391304347826,0,0.0,3.026595368893334,False,,0,,0,,0,,0.8103448275862069,0.7127611698183166,1.0,0.2111111111111111,Osimertinib,0.1896551724137931,0.7888888888888889,0.8940444251725834,0.583203253234444,1.0,0.9472222222222222,0.583203253234444,0.8561174751573124,1.0,0.416796746765556,0.583203253234444,0.0505692666870279,9.185316759117306,0.0215875840510535,-0.0,0.5720114942528736,9.778915837421232,0.0,0.0,0.0,0.145995933456945,0.0,0.145995933456945,0.0,low,,9.632919903964288,True,pass,False,,0.9619450317124736,0.6469344608879493,0.7610993657505285,0.0232558139534883,0.9460887949260042,0.8329809725158562,0.8118393234672304,0.8456659619450317,0.6810782241014799,0.7654334038054968,10.596209706343007,1,0.0,10.551439988530884,0,1,0,0,lead,[2H]C([2H])([2H])Oc1cc(C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5247513165593914,0.729224264107985,0.7345543152016552,102.99899385049332,0.8203329561707369,0.6815019157003993,reference_ligand,11.062566425306184,3,Osimertinib,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC
CCOc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(OC)c1,9.424778586077164,0.0382277386420159,0.4080555322298783,404.4700000000001,4.1777000000000015,92.29,3,6,4,8,0.217391304347826,0,0.0,3.313133333333334,False,,0,,0,,0,,0.7796610169491526,0.7578283001246369,1.0,0.24390243902439024,Afatinib,0.2203389830508474,0.7560975609756098,0.9544352294698796,0.547002337598228,1.0,0.9390243902439024,0.547002337598228,0.8601154893280025,1.0,0.4529976624017719,0.547002337598228,0.1257596535225028,9.36743697811414,-0.0671753373353391,-0.0,0.5759818106655643,9.876243451444363,0.0,0.0,0.0,0.1912470780022149,0.0,0.1912470780022149,0.0,low,,9.68499637344215,True,pass,False,,1.0,0.5878661087866108,0.5920502092050209,0.0313807531380753,0.9748953974895398,0.6694560669456067,0.8158995815899581,0.9748953974895398,0.6626569037656904,0.7452928870292886,10.671431735963193,1,0.0,10.579347837877297,0,2,1,0,lead,COc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(OC)c1,3,Dacomitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.3911379079337735,0.5770968652922903,0.9169987471036696,96.19258837409204,0.798750491764119,0.6354050131970426,reference_ligand,11.055901597775078,4,Afatinib,CN(C)CCOc1ccc2ncnc(Nc3ccccc3F)c2c1
CCOc1cc(C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.466693563673,0.0557881390506045,0.4348209892776107,388.471,4.477520000000003,83.06,3,5,4,7,0.217391304347826,0,0.0,3.1064733333333336,False,,0,,0,,0,,0.8245614035087719,0.7263907753254103,1.0,0.20481927710843373,Afatinib,0.175438596491228,0.7951807228915663,0.9526216935828268,0.5696718005129423,1.0,0.9487951807228916,0.5696718005129423,0.8677721687046651,1.0,0.4303281994870577,0.5696718005129423,0.1131326998375487,9.383011355097093,-0.0094108802876067,-0.0,0.5675015852885225,9.941102060098007,0.0,0.0,0.0,0.1629102493588221,0.0,0.1629102493588221,0.0,low,,9.778191810739186,True,pass,False,,0.995,0.15125,0.2525,0.11875,0.8875,0.69125,0.845,0.955,0.539625,0.6484375,10.588652060098008,1,0.0,10.556316810739183,0,2,1,0,lead,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.4438093060477878,0.6800981079187105,0.8176115208448215,87.0531914464099,0.7656375719712512,0.6462845758622449,reference_ligand,11.041030242635866,5,Afatinib,CN(C)CCOc1ccc2ncnc(Nc3ccccc3F)c2c1
COc1ccc(-c2cc3c(N[C@H](CF)c4ccccc4)ncnc3[nH]2)c(OC)c1,9.098414111384692,0.0440139786732709,0.474227228241751,392.4340000000001,4.764800000000003,72.06,2,5,4,7,0.1818181818181818,0,0.0,3.132893333333334,False,,0,,0,,0,,0.6721311475409836,0.653616314920297,0.9156660271278126,0.25316455696202533,Afatinib,0.3278688524590164,0.7468354430379747,0.8687937427748837,0.5903290780970657,1.0,0.8734583811053531,0.5903290780970657,0.8331453004943257,1.0,0.4096709219029343,0.5903290780970657,0.0475312563740774,9.032393143374788,0.0224750464235691,-0.0,0.600508123299903,9.65537631309826,0.0,0.0,0.0,0.1370886523786679,0.0,0.1370886523786679,0.0,low,,9.51828766071959,True,pass,False,,0.893305439330544,0.9832635983263598,0.8786610878661087,0.3629707112970711,0.8347280334728033,0.8765690376569037,0.8158995815899581,0.9644351464435148,0.8030334728033471,0.8405857740585775,10.619016480462276,3,0.0,10.526990589589882,0,3,0,0,lead,COc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(OC)c1,3,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.4925961308812993,0.7241924157303371,0.7808989922860069,87.00995587218318,0.7654686312072537,0.664794085213537,reference_ligand,11.025586153500035,6,Afatinib,CN(C)CCOc1ccc2ncnc(Nc3ccccc3F)c2c1
[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.118298805305129,0.0294552951153481,0.5172404728978485,365.426305334,4.756200000000003,62.83,2,4,4,6,0.1428571428571428,0,0.0,2.85284203556,False,,0,,0,,0,,0.8214285714285714,0.6974036986190745,0.9952794520346808,0.22784810126582278,Afatinib,0.1785714285714286,0.7721518987341772,0.883955994745538,0.624757566418432,1.0,0.9394975637095548,0.624757566418432,0.8620527812183812,1.0,0.3752424335815679,0.624757566418432,0.0292042847028757,9.074115862632103,0.1035998818495627,-0.0,0.5608225754860662,9.738538319967734,0.0,0.0,0.0,0.0940530419769599,0.0,0.0940530419769599,0.0,low,,9.644485277990777,True,pass,False,,0.8675,0.4675,0.41,0.13,0.765,0.935,0.845,0.9925,0.5713750000000001,0.6885,10.424188319967737,9,0.0,10.470685277990777,0,3,0,6,lead,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.6072394692773413,0.7643911139938382,0.754046972431909,97.23951257275192,0.8022315827926602,0.716779327230384,reference_ligand,11.008269773413565,7,Afatinib,CN(C)CCOc1ccc2ncnc(Nc3ccccc3F)c2c1
CCOc1cc(C)c(C)cc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.35192306467994,0.0093014808203591,0.4141026137851056,402.4980000000001,4.785940000000004,83.06,3,5,4,7,0.25,0,0.0,3.199986666666667,False,,0,,0,,0,,0.8070175438596491,0.7068470571590266,1.0,0.2073170731707317,Afatinib,0.1929824561403509,0.7926829268292683,0.9564697295957332,0.5546800273253978,1.0,0.9481707317073172,0.5546800273253978,0.8648301221571121,1.0,0.4453199726746022,0.5546800273253978,0.122186143251495,9.3379708434494,-0.0408953862148944,-0.0,0.5746469833119384,9.871722440546444,0.0,0.0,0.0,0.1816499658432527,0.0,0.1816499658432527,0.0,low,,9.690072474703191,True,pass,False,,0.9746300211416492,0.3720930232558139,0.5613107822410148,0.0274841437632135,0.9460887949260042,0.6088794926004228,0.8118393234672304,0.9957716701902748,0.6026955602536997,0.6935517970401691,10.594957112850883,3,0.0,10.522334631151397,0,2,0,1,lead,CCOc1cc(C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,2,Erlotinib,COc1cc2ncnc(Nc3ccc(Cl)c(C#C)c3)c2cc1OCCCN1CCOCC1,0.4042972415087258,0.5991379310344828,0.7815920273122987,99.3645103229621,0.8091132907205358,0.6199283488775442,reference_ligand,10.987280892809554,8,Afatinib,CN(C)CCOc1ccc2ncnc(Nc3ccccc3F)c2c1
[2H]C([2H])([2H])Oc1cc(OCC)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.428595278495868,0.033180330381762,0.4058402323010799,407.4883053340001,4.177700000000002,92.29,3,6,4,8,0.217391304347826,0,0.0,3.333255368893334,False,,0,,0,,0,,0.7868852459016393,0.7181739583643338,1.0,0.23809523809523808,Afatinib,0.2131147540983606,0.7619047619047619,0.9589225883567336,0.5450099981927734,1.0,0.9404761904761904,0.5450099981927734,0.8611021942564243,1.0,0.4549900018072266,0.5450099981927734,0.1304271921337455,9.378824782923225,-0.0724089425981375,-0.0,0.5744730679156909,9.880888908240776,0.0,0.0,0.0,0.1937375022590332,0.0,0.1937375022590332,0.0,low,,9.687151405981744,True,pass,False,,0.9978858350951374,0.3340380549682875,0.2674418604651162,0.0465116279069767,0.9460887949260042,0.5496828752642706,0.8118393234672304,0.9619450317124736,0.5652748414376322,0.6597251585623679,10.559218717965935,5,0.0,10.478821596256584,0,3,0,2,lead,[2H]C([2H])([2H])Oc1cc(OC)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5176470588235293,0.7328589909443726,0.6771593375720064,99.85473207405543,0.8106665503475194,0.665846773878391,reference_ligand,10.978206676665376,9,Afatinib,CN(C)CCOc1ccc2ncnc(Nc3ccccc3F)c2c1
COc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(OC)c1,9.365490480750989,0.1131371393717048,0.4446694417376234,390.4430000000001,3.7876,92.29,3,6,4,7,0.1818181818181818,0,0.0,3.1196200000000007,False,,0,,0,,0,,0.8214285714285714,0.7851696217032467,1.0,0.2413793103448276,Osimertinib,0.1785714285714286,0.7586206896551724,0.8871766226275534,0.5745828083403083,1.0,0.9396551724137931,0.5745828083403083,0.8503536508454137,1.0,0.4254171916596917,0.5745828083403083,0.0490972957095194,9.195784771693427,-0.0050917400805584,-0.0,0.5579433497536945,9.748636381366564,0.0,0.0,0.0197057090575572,0.1567714895746146,0.0,0.1764771986321719,0.0,low,,9.572159182734392,True,pass,False,,0.985200845665962,0.6194503171247357,0.638477801268499,0.014799154334038,0.9460887949260042,0.758985200845666,0.8118393234672304,0.7209302325581395,0.6659619450317126,0.7415433403805497,10.54779071540462,6,0.0,10.462011191191053,0,4,0,2,lead,CCOc1cc(OC)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5264394829612221,0.726565034057736,0.7107565426271419,97.72274424926806,0.8038179852815763,0.6726726306937973,reference_ligand,10.9665156642114,10,Osimertinib,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC
