smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket,parent_seed,closest_pose_reference,closest_pose_smiles,shape_similarity,protrude_similarity,usr_similarity,alignment_score_raw,alignment_score_norm,docking_rescore,docking_backend,structural_priority_score,structural_rank
O=C(/C=C\F)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.008198305968923,0.0876310684407275,0.6673221117389069,387.2120000000001,4.125700000000002,67.77000000000001,1,5,3,5,0.0588235294117647,0,0.0,2.348080000000001,False,,0,,0,,0,,0.8333333333333334,0.7997338173018754,1.0,0.3378378378378378,Sunvozertinib,0.1666666666666666,0.6621621621621622,0.8157078285837216,0.7267163922256294,1.0,0.9155405405405406,0.7267163922256294,0.8644911903374728,1.0,0.2732836077743705,0.7267163922256294,-0.065044482338335,8.876751703307832,0.3209924646800832,-0.0,0.5236486486486487,9.721392816636564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,,9.721392816636564,True,pass,False,,0.839493136219641,0.8732840549102429,0.8606124604012672,0.1019007391763463,0.8780359028511088,0.9852164730728616,0.8247096092925026,0.8099260823653643,0.7019007391763464,0.7883843717001056,10.56367370364818,12,0.0,10.667454062676692,0,1,0,11,lead,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5724437425977102,0.7529859788817725,0.759545316959218,114.7881184731506,0.8523831639418105,0.7159573600628494,reference_ligand,11.204422082723829,1
OCc1ccc(-c2cc3c(N[C@H](CF)c4ccccc4)ncnc3[nH]2)cc1,9.309985758509136,0.0240202082609122,0.4796017385083468,362.408,4.239900000000002,73.83,3,4,4,6,0.1428571428571428,0,0.0,2.83272,False,,0,,0,,0,,0.8431372549019608,0.729453661806603,1.0,0.2051282051282051,Afatinib,0.1568627450980392,0.7948717948717949,0.935682293844646,0.6048301869488215,1.0,0.9487179487179488,0.6048301869488215,0.872307607377854,1.0,0.3951698130511785,0.6048301869488215,0.0844995819557223,9.27395544611777,0.068979452794061,-0.0,0.5590497737556561,9.901984672667488,0.0,0.0,0.0,0.1189622663139731,0.0,0.1189622663139731,0.0,low,,9.783022406353512,True,pass,False,,0.9640971488912354,0.4366420274551214,0.5274551214361141,0.0712777191129883,0.8780359028511088,0.8389651531151003,0.8247096092925026,0.9873284054910244,0.614545934530095,0.7181362196409713,10.6394397941036,5,0.0,10.64478586992268,0,2,0,3,lead,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.5548069448043534,0.7526806117068026,0.7724180735224596,93.65771488088332,0.7900659645850401,0.6967186588736362,reference_ligand,11.167324864077909,2
COc1cc(CO)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,9.498957507913254,0.1212183140959555,0.468660740099691,374.444,4.298900000000003,83.06,3,5,4,6,0.1818181818181818,0,0.0,2.91296,False,,0,,0,,0,,0.8135593220338984,0.7520840597090612,1.0,0.2272727272727272,Osimertinib,0.1864406779661016,0.7727272727272727,0.9148865571111444,0.5957264839779071,1.0,0.943181818181818,0.5957264839779071,0.8634487148177175,1.0,0.4042735160220929,0.5957264839779071,0.0685837897245695,9.31713003676932,0.0498985582815091,-0.0,0.5657164869029275,9.932745081953756,0.0,0.0,0.0318274711439333,0.1303418950276161,0.0,0.1621693661715495,0.0,low,,9.770575715782208,True,pass,False,,0.9957761351636748,0.3711721224920802,0.5121436114044351,0.1805702217529039,0.8780359028511088,0.7940865892291447,0.8247096092925026,0.6884899683210137,0.6352692713833157,0.7077877507919748,10.695068207613737,4,0.0,10.619921016732578,0,3,0,1,lead,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CO)cc3)cc12)c1ccccc1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.4286542251072215,0.6487719298245613,0.8318639182796858,79.59345328765423,0.7346107213357289,0.6298088287423091,reference_ligand,11.09227763828931,3
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Cl)C(=O)NCC2,9.297263540564424,0.0429533867945481,0.4942665847544341,430.8670000000001,3.9239000000000015,88.27000000000001,3,5,4,7,0.238095238095238,0,0.0,3.0391133333333347,False,,0,,0,,0,,0.8382352941176471,0.8148096052755591,1.0,0.198019801980198,Gefitinib,0.1617647058823529,0.801980198019802,0.9192485143849224,0.6049576472559643,1.0,0.9504950495049505,0.6049576472559643,0.8686753027864593,1.0,0.3950423527440356,0.6049576472559643,0.0674309487979508,9.232833460372602,0.0622091085639577,-0.0,0.5633881770529994,9.858430745989558,0.0,0.0,0.0,0.1188029409300445,0.0,0.1188029409300445,0.0,low,,9.739627805059516,True,pass,False,,0.9609292502639916,0.4973600844772967,0.3262935586061246,0.0876451953537486,0.8780359028511088,0.8405491024287223,0.8247096092925026,0.9588173178458288,0.598363252375924,0.7065469904963041,10.576466648840666,9,0.0,10.58748419365508,0,4,0,5,lead,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Br)C(=O)NCC2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.4344111603763383,0.6497897120672922,0.7541675550115002,101.71396652373018,0.8164435033817135,0.6369462353929052,reference_ligand,11.065193870199758,5
CCOc1cc(C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.466693563673,0.0557881390506043,0.4348209892776107,388.471,4.477520000000003,83.06,3,5,4,7,0.217391304347826,0,0.0,3.1064733333333336,False,,0,,0,,0,,0.8245614035087719,0.7263907753254103,1.0,0.2048192771084337,Afatinib,0.175438596491228,0.7951807228915663,0.9526216935828268,0.5696718005129423,1.0,0.9487951807228916,0.5696718005129423,0.8677721687046651,1.0,0.4303281994870577,0.5696718005129423,0.1131326998375488,9.383011355097093,-0.0094108802876067,-0.0,0.5675015852885225,9.941102060098007,0.0,0.0,0.0,0.1629102493588221,0.0,0.1629102493588221,0.0,low,,9.778191810739186,True,pass,False,,0.9915522703273496,0.2296726504751848,0.2587117212249208,0.1393875395987328,0.8780359028511088,0.6552270327349525,0.8247096092925026,0.9208025343189018,0.5588173178458289,0.6535638859556494,10.611682841513002,6,0.0,10.562468473885964,0,6,0,0,lead,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.4438093060477878,0.6800981079187105,0.8176115208448215,87.0531914464099,0.7656375719712512,0.6462845758622449,reference_ligand,11.047181905782647,6
[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CF)c3ccccc3)ncnc2[nH]1,9.118298805305123,0.0294552951153505,0.5172404728978485,365.426305334,4.756200000000003,62.83,2,4,4,6,0.1428571428571428,0,0.0,2.85284203556,False,,0,,0,,0,,0.8214285714285714,0.6974036986190745,0.9952794520346808,0.2278481012658227,Afatinib,0.1785714285714286,0.7721518987341772,0.8839559947455359,0.624757566418432,1.0,0.9394975637095548,0.624757566418432,0.8620527812183807,1.0,0.3752424335815679,0.624757566418432,0.0292042847028736,9.0741158626321,0.1035998818495627,-0.0,0.5608225754860662,9.738538319967727,0.0,0.0,0.0,0.0940530419769599,0.0,0.0940530419769599,0.0,low,,9.64448527799077,True,pass,False,,0.8827877507919747,0.5638859556494192,0.5163674762407603,0.1557550158394931,0.750791974656811,0.8986272439281943,0.8247096092925026,0.9820485744456178,0.6186378035902851,0.7131467793030623,10.480903684276072,22,0.0,10.500261413154444,0,9,0,13,lead,[2H]C([2H])([2H])Oc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.6072394692773413,0.7643911139938382,0.754046972431909,97.23951257275192,0.8022315827926602,0.716779327230384,reference_ligand,11.037845908577232,8
OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(F)c1,9.352103292664582,0.0719632203294347,0.4125713732623113,378.407,3.4018000000000006,94.06,4,5,4,6,0.1428571428571428,0,0.0,2.9393800000000003,False,,0,,0,,0,,0.75,0.7020669221488893,1.0,0.2278481012658227,Afatinib,0.25,0.7721518987341772,0.9126515689355412,0.5638611783711943,1.0,0.9430379746835444,0.5638611783711943,0.85488768049757,1.0,0.4361388216288057,0.5638611783711943,0.0770185179172949,9.24415846217043,-0.0140499124519744,-0.0,0.5941455696202531,9.824254119338708,0.0,0.0,0.0,0.1701735270360071,0.0,0.1701735270360071,0.0,low,,9.6540805923027,True,pass,False,,0.9714889123548046,0.1578669482576557,0.4340021119324181,0.4772967265047518,0.8780359028511088,0.6261879619852164,0.8247096092925026,0.8722280887011615,0.6293030623020063,0.6827613516367476,10.579417794101117,8,0.0,10.473394214266795,0,11,3,0,lead,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.5241181602891687,0.7360406091370558,0.7936256252442566,86.45820741983931,0.7633019790881899,0.6802000977495191,reference_ligand,10.983544287578937,11
Cc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.143840742783018,0.1313583952525809,0.509941198085486,344.418,4.078820000000002,73.83,3,4,4,5,0.1428571428571428,0,0.0,2.65,False,,0,,0,,0,,0.7592592592592593,0.7324083694083694,1.0,0.2105263157894736,Afatinib,0.2407407407407407,0.7894736842105263,0.819009309018948,0.6285445820239404,1.0,0.9473684210526316,0.6285445820239404,0.8487305780238801,1.0,0.3714554179760596,0.6285445820239404,-0.0396283586732426,8.946803149904147,0.1267269123712003,-0.0,0.5951754385964911,9.66870550087184,0.0,0.0,0.0470375928788713,0.0893192724700745,0.0,0.1363568653489458,0.0,low,,9.532348635522894,True,pass,False,,0.9028511087645196,0.544350580781415,0.6325237592397043,0.428194297782471,0.8780359028511088,0.9123548046462512,0.8247096092925026,0.6504751847940866,0.6956705385427666,0.7526135163674763,10.503510147123158,17,0.0,10.435484855163866,0,16,0,1,lead,OC[C@@H](Nc1ncnc2[nH]c(-c3ccccc3)cc12)c1ccccc1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.4575811209439527,0.6297499188048068,0.8501898510639576,86.29701159279044,0.7626652118820294,0.6468076492746437,reference_ligand,10.920590592119847,15
COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(C)c(F)c1C)C(=O)NCC2,9.23372605594051,0.0452087517221538,0.4850605147304438,452.53000000000026,4.665940000000003,88.27000000000001,3,5,4,7,0.36,0,0.0,3.183533333333335,False,,0,,0,,0,,0.8285714285714286,0.768011583011583,1.0,0.145631067961165,Osimertinib,0.1714285714285713,0.854368932038835,0.9017853877796198,0.5943396933581543,1.0,0.9635922330097088,0.5943396933581543,0.8649293285368707,1.0,0.4056603066418457,0.5943396933581543,0.0491414123236655,9.16591292835728,0.0435305147304435,-0.0,0.5834535367545076,9.792896979842231,0.0,0.0,0.0,0.1320753833023071,0.0,0.1320753833023071,0.0,low,,9.660821596539924,True,pass,False,,0.9398099260823654,0.4493136219640971,0.162090813093981,0.1209081309398099,0.8780359028511088,0.7761351636747624,0.8247096092925026,0.9535374868004224,0.5612724392819429,0.6732048574445617,10.466423906980562,25,0.0,10.468667425473395,0,12,0,13,lead,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3956373410524139,0.6781853623958887,0.6143719733670406,101.17333402827708,0.8147820860404688,0.6006800580310478,reference_ligand,10.91917746899668,16
OC[C@@H](Nc1ncnc2[nH]c(-c3cccc(F)c3)cc12)c1ccccc1,8.987055947070866,0.0223018576993914,0.5111779610192174,348.3810000000001,3.909500000000002,73.83,3,4,4,5,0.1,0,0.0,2.65,False,,0,,0,,0,,0.8163265306122449,0.7479353144766678,1.0,0.2368421052631578,Afatinib,0.183673469387755,0.7631578947368421,0.8561526863781426,0.6292248016374926,1.0,0.9407894736842104,0.6292248016374926,0.8565417404249615,1.0,0.3707751983625074,0.6292248016374926,-0.0005187387290918,8.953603160521778,0.1236779610192174,-0.0,0.5616004296455424,9.638881551186538,0.0,0.0,0.0,0.0884689979531342,0.0,0.0884689979531342,0.0,low,,9.550412553233404,True,pass,False,,0.8268215417106652,0.5543822597676874,0.6325237592397043,0.1721224920802534,0.8780359028511088,0.9181626187961984,0.8247096092925026,0.9883843717001056,0.6122492080253431,0.7231784582893348,10.373580600816949,46,0.0,10.418226703180606,0,19,0,27,lead,OC[C@@H](Nc1ncnc2[nH]c(-c3ccccc3)cc12)c1ccccc1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.5215081627364602,0.7040405807241561,0.710143272666861,98.02661807773312,0.8048090498398209,0.6665668900959196,reference_ligand,10.918151870752546,17
