smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count_x,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket,parent_seed,ancestor_seed,lineage_depth,lineage_path,round,action_name,action_category,action_rule_source,reaction_family,synthetic_route,synthetic_feasibility_score,medchem_realism_score,transformation_confidence_score,preserves_scaffold,parent_similarity,property_support_score,category_priority_score,generator_priority_score,adaptive_action_prior,hard_constraint_pass,hard_constraint_notes,introduced_warhead,warhead_retained,alert_count,severe_alert_count_y,structural_guidance_score,structure_guidance_reference,structure_guidance_backend,parent_predicted_pIC50,parent_QED,parent_final_score,parent_verified_reward,parent_reward_hacking_risk,ancestor_predicted_pIC50,ancestor_QED,ancestor_final_score,ancestor_verified_reward,ancestor_reward_hacking_risk,delta_predicted_pIC50,delta_QED,delta_final_score,delta_verified_reward,improved_over_parent_final_score,improved_over_parent_potency,improved_over_parent_qed,improved_over_parent_verified_reward,parent_improvement_count,lineage_root,generator_composite_score
Cc1c(F)cccc1Nc1c(-c2ccncc2OCC(C)(C)F)[nH]c2c1C(=O)NCC2,9.312988403947168,0.09312551413604978,0.5347912011751007,426.46700000000016,4.680620000000003,79.04,3,4,4,6,0.30434782608695654,0,0.0,2.909780000000001,False,,0,,0,,0,,0.855072463768116,0.7615930735930736,1.0,0.18478260869565216,Afatinib,0.14492753623188404,0.8152173913043479,0.8880592410915571,0.63222054526169,1.0,0.9538043478260869,0.63222054526169,0.8685210335448335,1.0,0.36777945473831,0.63222054526169,0.02605094339563141,9.173300132743094,0.12875898378379624,-0.0,0.5597826086956521,9.861841725222543,0.0,0.0,0.0,0.08472431842288748,0.0,0.08472431842288748,0.0,low,,9.777117406799656,True,pass,False,,0.9841269841269841,0.7142857142857143,0.6042328042328042,0.0328042328042328,0.8592592592592593,0.9629629629629629,0.8296296296296296,0.7978835978835979,0.6829100529100529,0.7711640211640212,10.681333788714607,1,0.0,10.702514232196481,0,1,0,0,lead,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,1,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2 -> Cc1c(F)cccc1Nc1c(-c2ccncc2OCC(C)(C)F)[nH]c2c1C(=O)NCC2,1,alcohol_fluorination,functional_group_swap,reaction_transform,functional_group_swap,halogen_exchange,0.74,0.66,0.7,True,0.855072463768116,0.7476187380560619,0.835,0.8868805473369185,0.7543213928155906,True,,False,True,0,0,0.5477354796802559,Osimertinib,reference_ligand,9.64492553317416,0.5102437252597349,10.698916496302727,9.748407601490852,0.0,9.64492553317416,0.5102437252597349,10.698916496302727,9.748407601490852,0.0,-0.3319371292269917,0.02454747591536577,0.003597735893754006,0.028709805308803737,True,False,True,True,3,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,12.145940338218002
C#Cc1c(F)ccc(Nc2c(-c3ccncc3OCC(C)(C)OC)[nH]c3c2C(=O)NCC3)c1C,9.262148061408196,0.04155427565528835,0.45487746412729285,462.52500000000026,4.338820000000003,88.27000000000001,3,5,4,7,0.3076923076923077,0,0.0,3.2501666666666686,False,,0,,0,,0,,0.7763157894736842,0.7222527115509572,1.0,0.1574074074074074,Osimertinib,0.22368421052631582,0.8425925925925926,0.9114490223933471,0.5751761950136007,1.0,0.9606481481481481,0.5751761950136007,0.8618183413887739,1.0,0.42482380498639927,0.5751761950136007,0.06617424133943095,9.199816647925264,-0.0018783051034766407,-0.0,0.6034356725146199,9.801374015336407,0.0,0.0,0.0,0.15602975623299908,0.0,0.15602975623299908,0.0,low,,9.645344259103407,True,pass,False,,0.9865005192107996,0.952232606438214,0.8245067497403946,0.0264797507788162,0.9688473520249221,0.9117341640706127,0.8161993769470405,0.9345794392523364,0.7633437175493251,0.8402907580477673,10.717386476395596,3,0.0,10.653693168760729,0,1,0,2,lead,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(C#N)c1C)C(=O)NCC2,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,3,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2 -> COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(F)c1C)C(=O)NCC2 -> COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(C#N)c1C)C(=O)NCC2 -> C#Cc1c(F)ccc(Nc2c(-c3ccncc3OCC(C)(C)OC)[nH]c3c2C(=O)NCC3)c1C,3,nitrile_to_terminal_alkyne,mmp,matched_molecular_pair,matched_molecular_pair,bioisostere_swap,0.72,0.7,0.68,True,0.8666666666666667,0.7127368789560313,0.8600000000000001,0.8797484367281404,0.6756125391789353,True,,False,True,0,0,0.5944392613186469,Afatinib,reference_ligand,,,,,,9.64492553317416,0.5102437252597349,10.698916496302727,9.748407601490852,0.0,,,,,False,False,False,False,0,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,12.082949457129695
C#Cc1ccc(OCC)c(-c2cc3c(NC(CO)c4ccccc4)ncnc3[nH]2)c1,9.381399397620676,0.035967611810184624,0.4074813650153291,398.46600000000007,4.150400000000002,83.06,3,5,4,7,0.16666666666666666,0,0.0,3.1731066666666674,False,,0,,0,,0,,0.7704918032786885,0.6712663667789677,0.9477570305072138,0.20930232558139536,Afatinib,0.2295081967213115,0.7906976744186046,0.9451725211380397,0.5520721866558669,1.0,0.9084921914850616,0.5520721866558669,0.851434224819742,1.0,0.4479278133441331,0.5520721866558669,0.12498439509106352,9.327447979905399,-0.05181796831800434,-0.0,0.577427248476975,9.853057260064368,0.0,0.0,0.0,0.1849097666801664,0.0,0.1849097666801664,0.0,low,,9.668147493384202,True,pass,False,,0.9979231568016614,0.6967808930425753,0.9574247144340602,0.0347871235721703,0.8743509865005192,0.7762201453790238,0.8161993769470405,0.9511941848390446,0.7389927310488058,0.7973520249221184,10.739848537322935,2,0.0,10.624969923290744,0,3,1,0,lead,CCOc1ccc(C#N)cc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,3,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccc(C#N)cc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> C#Cc1ccc(OCC)c(-c2cc3c(NC(CO)c4ccccc4)ncnc3[nH]2)c1,3,nitrile_to_terminal_alkyne,mmp,matched_molecular_pair,matched_molecular_pair,bioisostere_swap,0.72,0.7,0.68,True,0.8412698412698413,0.6909391381174185,0.8600000000000001,0.8800402904347823,0.6756125391789353,True,,False,True,0,0,0.6676429196871341,Afatinib,reference_ligand,,,,,,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,,,,,False,False,False,False,0,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,12.063107415439616
C#Cc1ccc(-c2cc3c(NC(CO)c4ccccc4)ncnc3[nH]2)c(OCC)c1,9.426633674968434,0.07193856123942666,0.407481365015329,398.4660000000001,4.150400000000002,83.06,3,5,4,7,0.16666666666666666,0,0.0,3.173106666666668,False,,0,,0,,0,,0.7704918032786885,0.6864847242921013,0.975426771440184,0.19801980198019803,Erlotinib,0.2295081967213115,0.801980198019802,0.9313014258745098,0.5520721866558669,1.0,0.9320651280850885,0.5520721866558669,0.8538596851538663,1.0,0.4479278133441331,0.5520721866558669,0.10325565429419126,9.318725833109294,-0.051817968318004504,-0.0,0.5877294407905768,9.854637305581866,0.0,0.0,0.0,0.1849097666801664,0.0,0.1849097666801664,0.0,low,,9.6697275389017,True,pass,False,,1.0,0.6957424714434061,0.956386292834891,0.0347871235721703,0.9205607476635514,0.7762201453790238,0.8161993769470405,0.8276220145379024,0.7395638629283489,0.7961578400830738,10.742113941095884,1,0.0,10.625116947001388,0,2,1,0,lead,CCOc1cc(C#N)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,3,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1cc(C#N)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> C#Cc1ccc(-c2cc3c(NC(CO)c4ccccc4)ncnc3[nH]2)c(OCC)c1,3,nitrile_to_terminal_alkyne,mmp,matched_molecular_pair,matched_molecular_pair,bioisostere_swap,0.72,0.7,0.68,True,0.8412698412698413,0.6909391381174185,0.8600000000000001,0.8759153866210571,0.6756125391789353,True,,False,True,0,0,0.6364880570457057,Sunvozertinib,reference_ligand,,,,,,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,,,,,False,False,False,False,0,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,12.051858613493277
O=C(/C=C\F)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.97262998622889,0.10010558860540743,0.6673221117389069,387.2120000000001,4.125700000000002,67.77000000000001,1,5,3,5,0.058823529411764705,0,0.0,2.348080000000001,False,,0,,0,,0,,0.8333333333333334,0.8024561403508772,1.0,0.33783783783783783,Sunvozertinib,0.16666666666666663,0.6621621621621622,0.7980835845334373,0.7267163922256294,1.0,0.9155405405405406,0.7267163922256294,0.8600851293249019,1.0,0.27328360777437055,0.7267163922256294,-0.08266872638861933,8.822471603320778,0.3209924646800832,-0.0,0.5236486486486487,9.66711271664951,0.0,0.0,0.00015838290811113348,0.0,0.0,0.00015838290811113348,0.0,low,,9.6669543337414,True,pass,False,,0.7502645502645503,0.9301587301587302,0.7841269841269841,0.0761904761904762,0.8592592592592593,0.9947089947089947,0.8296296296296296,0.7693121693121693,0.6565079365079366,0.7574603174603175,10.454922240459034,10,0.0,10.57590671469378,0,2,0,8,lead,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1 -> O=C(/C=C\F)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1,halogen_swap_17_to_9,atom_swap,atom_edit,halogen_scan,late_stage_halogen_exchange,0.83,0.8,0.76,True,0.8333333333333334,0.7716698929442615,0.72,0.9056040184340585,0.6316470649435625,True,,False,True,0,0,0.7159573600628494,Osimertinib,reference_ligand,9.04532926941451,0.6397482009417655,10.448762104594683,9.447814977587928,0.0,9.04532926941451,0.6397482009417655,10.448762104594683,9.447814977587928,0.0,-0.0726992831856208,0.027573910797141332,0.12714461009909606,0.21913935615347135,True,False,True,True,3,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,12.047956373395447
CCOc1ccc(F)cc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,9.378855663959243,0.08819222850612307,0.43657653119890333,392.434,4.308200000000003,83.06,3,5,4,7,0.18181818181818182,0,0.0,3.132893333333334,False,,0,,0,,0,,0.8421052631578947,0.7471624592947201,1.0,0.23170731707317074,Afatinib,0.1578947368421053,0.7682926829268293,0.9079793560355246,0.5696211947234995,1.0,0.9420731707317074,0.5696211947234995,0.8549184303726829,1.0,0.4303788052765005,0.5696211947234995,0.07074790088378902,9.246567321200057,-0.015175650619278561,-0.0,0.5515404364569961,9.782932107037775,0.0,0.0,0.0,0.16297350659562565,0.0,0.16297350659562565,0.0,low,,9.61995860044215,True,pass,False,,0.9978947368421053,0.6457894736842106,0.6442105263157895,0.014736842105263158,0.9557894736842105,0.7968421052631579,0.8136842105263158,0.7989473684210526,0.6777894736842105,0.7587105263157895,10.596279475458827,2,0.0,10.530411232021097,0,2,0,0,lead,CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,2,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccc(F)cc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,2,decorate_fluoro,scaffold_decoration,scaffold_decoration,scaffold_decoration,late_stage_fluorination,0.88,0.82,0.8,True,0.8421052631578947,0.7003714030041917,0.893,0.9186301426258316,0.7050444491509569,True,,False,True,0,0,0.6375931970705152,Afatinib,reference_ligand,,,,,,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,,,,,False,False,False,False,0,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,12.005812897775748
CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,9.621394722166604,0.05505696532730995,0.4521900852216164,374.444,4.169100000000002,83.06,3,5,4,7,0.18181818181818182,0,0.0,3.01296,False,,0,,0,,0,,1.0,0.86495670995671,1.0,0.21518987341772153,Afatinib,0.0,0.7848101265822784,0.9918088048125341,0.5828214699488121,1.0,0.9462025316455696,0.5828214699488121,0.880208201601729,1.0,0.4171785300511879,0.5828214699488121,0.14880080428107356,9.53880927417564,0.018427903403434583,-0.0,0.2854430379746835,9.842680215553758,0.0,0.0,0.0,0.14647316256398485,0.0,0.14647316256398485,0.0,low,,9.696207052989772,True,pass,False,,1.0,0.4328042328042328,0.44761904761904764,0.0026455026455026454,0.8592592592592593,0.8031746031746032,0.8296296296296296,0.9238095238095239,0.6042328042328042,0.7053439153439155,10.567759580633123,2,0.0,10.542619751402471,0,3,1,0,lead,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,1,methoxy_to_ethoxy,williamson,reaction_transform,williamson,o_alkylation,0.83,0.79,0.82,True,0.8333333333333334,0.7074071505932987,0.744,0.8967153229104481,0.7373522057775284,True,,False,True,0,0,0.6418217752774235,Afatinib,reference_ligand,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,0.2840852928202242,-0.0351680317068066,0.05189977336918794,0.17535380774022258,True,True,False,True,3,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,12.003976210909563
COc1cc(N(C)C)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,9.233104743993302,0.04262073823038141,0.4346148029271733,403.48600000000005,3.8450000000000015,86.30000000000001,3,6,4,7,0.21739130434782608,0,0.0,3.206573333333334,False,,0,,0,,0,,0.7796610169491526,0.7763805358119191,1.0,0.23333333333333334,Osimertinib,0.22033898305084743,0.7666666666666666,0.9034416692370584,0.5657083980202018,1.0,0.9416666666666667,0.5657083980202018,0.8527041834809816,1.0,0.4342916019797982,0.5657083980202018,0.06764998100810227,9.169173636647729,-0.024632066638044167,-0.0,0.5791525423728814,9.723694112382566,0.0,0.0,0.0,0.16786450247474777,0.0,0.16786450247474777,0.0,low,,9.555829609907818,True,pass,False,,0.990280777537797,0.8218142548596112,0.8725701943844493,0.005399568034557235,0.9848812095032398,0.8704103671706264,0.8612311015118791,0.9514038876889849,0.7419546436285097,0.8273758099352052,10.614039684736778,1,0.0,10.548680581830064,0,1,0,0,lead,CCOc1cc(N(C)C)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,4,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1cc(F)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> CCOc1cc(N(C)C)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1 -> COc1cc(N(C)C)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,4,phenetole_to_anisole,mmp,matched_molecular_pair,matched_molecular_pair,late_stage_alkoxy_tuning,0.78,0.76,0.74,True,0.8524590163934426,0.7010423854904286,0.8600000000000001,0.8944587803192424,0.6809134438286149,True,,False,True,0,0,0.6337390399082699,Dacomitinib,reference_ligand,,,,,,9.33730942934638,0.487358116928423,10.490719978033283,9.52085324524955,0.0,,,,,False,False,False,False,0,COc1ccccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2[nH]1,11.997554590710836
COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(O)c1C)C(=O)NCC2,9.174831547117199,0.028911585143463748,0.4287676389727727,454.50200000000024,4.063120000000001,108.5,4,6,4,7,0.3333333333333333,0,0.0,3.1966800000000015,False,,0,,0,,0,,0.821917808219178,0.7697383529712296,1.0,0.17307692307692307,Osimertinib,0.17808219178082196,0.8269230769230769,0.8984697771788751,0.5628729706657942,1.0,0.9567307692307692,0.5628729706657942,0.8545183792688597,1.0,0.4371270293342058,0.5628729706657942,0.05860186388002053,9.131464169402003,-0.01740102769389417,-0.0,0.578213909378293,9.692277051086402,0.0,0.0,0.0,0.17140878666775722,0.0,0.17140878666775722,0.0,low,,9.520868264418644,True,pass,False,,0.9709241952232607,0.8753894080996885,0.9376947040498442,0.008307372793354102,0.9688473520249221,0.8805815160955348,0.8161993769470405,0.9657320872274143,0.7543094496365524,0.8320353063343717,10.597448390650264,5,0.0,10.51931063201989,0,5,0,0,lead,COc1c(F)ccc(Nc2c(-c3ccncc3OCC(C)(C)OC)[nH]c3c2C(=O)NCC3)c1C,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,3,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2 -> COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(F)c1C)C(=O)NCC2 -> COc1c(F)ccc(Nc2c(-c3ccncc3OCC(C)(C)OC)[nH]c3c2C(=O)NCC3)c1C -> COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(O)c1C)C(=O)NCC2,3,anisole_to_phenol,mmp,matched_molecular_pair,matched_molecular_pair,demethylation,0.82,0.77,0.75,True,0.8356164383561644,0.710216293090622,0.8600000000000001,0.9032297689670997,0.6990024669323672,True,,False,True,0,0,0.6436387356494262,Osimertinib,reference_ligand,,,,,,9.64492553317416,0.5102437252597349,10.698916496302727,9.748407601490852,0.0,,,,,False,False,False,False,0,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,11.979762816579534
COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(C#N)c1C)C(=O)NCC2,9.188439348509318,0.031138614996157596,0.483499361886462,463.51300000000026,4.229200000000002,112.06,3,6,4,7,0.32,0,0.0,3.256753333333335,False,,0,,0,,0,,0.7763157894736842,0.7222527115509572,1.0,0.1574074074074074,Osimertinib,0.22368421052631582,0.8425925925925926,0.9003128066300192,0.5906649054478104,1.0,0.9606481481481481,0.5906649054478104,0.8629064650564944,1.0,0.40933509455218964,0.5906649054478104,0.04987512209803313,9.141731426015081,0.02698636188646178,-0.0,0.6034356725146199,9.772153460416162,0.0,0.0,0.0,0.13666886819023705,0.0,0.13666886819023705,0.0,low,,9.635484592225925,True,pass,False,,0.9621052631578947,0.8157894736842105,0.4421052631578947,0.06,0.9557894736842105,0.8736842105263158,0.8136842105263158,0.98,0.6744210526315789,0.7745263157894736,10.581458723574055,4,0.0,10.564916171173293,0,1,0,3,lead,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(F)c1C)C(=O)NCC2,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,2,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2 -> COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(F)c1C)C(=O)NCC2 -> COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(F)c(C#N)c1C)C(=O)NCC2,2,aryl_f_to_cyano,snar,reaction_transform,snar,snar_diversification,0.79,0.75,0.8,True,0.8356164383561644,0.7205195493617115,0.913,0.8921928363977085,0.6177632155903671,True,,False,True,0,0,0.5664857250231925,Osimertinib,reference_ligand,,,,,,9.64492553317416,0.5102437252597349,10.698916496302727,9.748407601490852,0.0,,,,,False,False,False,False,0,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,11.979730302699007
