strategy,score_column,top_k,mean_predicted_pIC50,mean_qed,mean_sa_score,mean_reward_hacking_risk,mean_applicability,mean_uncertainty,audit_pass_rate,veto_rate,review_or_fail_rate,mean_max_market_similarity
protected_final,final_score,25,9.308065583420925,0.553459358391516,2.7487875480890676,0.006,1.0,0.08270085093030007,1.0,0.0,0.0,0.2565868197066047
no_audit_status,no_audit_status_score,25,9.308065583420925,0.553459358391516,2.7487875480890676,0.006,1.0,0.08270085093030007,1.0,0.0,0.0,0.2565868197066047
no_veto,no_veto_score,25,9.308065583420925,0.553459358391516,2.7487875480890676,0.006,1.0,0.08270085093030007,1.0,0.0,0.0,0.2565868197066047
verified_plus_mo,verified_plus_mo,25,9.280262462450604,0.5910073621940485,2.6521230147557344,0.024,0.9995521519814787,0.08451507571507799,1.0,0.0,0.0,0.27536761597170245
no_risk_penalty,no_risk_penalty_score,25,9.280262462450604,0.5910073621940485,2.6521230147557344,0.024,0.9995521519814787,0.08451507571507799,1.0,0.0,0.0,0.27536761597170245
naive_proxy,naive_score,25,9.382915301781603,0.6113186913074407,2.5574766147557337,0.09799999999999999,0.9984152152738688,0.14710872333608768,0.96,0.04,0.04,0.2811871514834499
protected_final,final_score,50,9.156920179309939,0.5724688396511748,2.6651047073778678,0.021,0.9997760759907394,0.0826439535001608,1.0,0.0,0.0,0.29235716443213927
no_audit_status,no_audit_status_score,50,9.156920179309939,0.5724688396511748,2.6651047073778678,0.021,0.9997760759907394,0.0826439535001608,1.0,0.0,0.0,0.29235716443213927
no_veto,no_veto_score,50,9.156920179309939,0.5724688396511748,2.6651047073778678,0.021,0.9997760759907394,0.0826439535001608,1.0,0.0,0.0,0.29235716443213927
verified_plus_mo,verified_plus_mo,50,9.234190321717966,0.5819829603358484,2.636965240711201,0.051,0.9997760759907394,0.10314459997126434,1.0,0.0,0.0,0.28428826103629595
no_risk_penalty,no_risk_penalty_score,50,9.234190321717966,0.5819829603358484,2.636965240711201,0.051,0.9997760759907394,0.10314459997126434,1.0,0.0,0.0,0.28428826103629595
naive_proxy,naive_score,50,9.309132294284627,0.5987394835305316,2.5905184407112007,0.09400000000000003,0.9992076076369344,0.14088477859297346,0.98,0.02,0.02,0.29221334245924324
protected_final,final_score,100,9.033706327745682,0.5741860515165363,2.6259633536889346,0.03949999999999999,0.9998880379953696,0.09491927937464924,1.0,0.0,0.0,0.30657591964480907
no_audit_status,no_audit_status_score,100,9.033706327745682,0.5741860515165363,2.6259633536889346,0.03949999999999999,0.9998880379953696,0.09491927937464924,1.0,0.0,0.0,0.30657591964480907
no_veto,no_veto_score,100,9.033706327745682,0.5741860515165363,2.6259633536889346,0.03949999999999999,0.9998880379953696,0.09491927937464924,1.0,0.0,0.0,0.30657591964480907
no_risk_penalty,no_risk_penalty_score,100,9.114109088631531,0.5763382319389778,2.6056836870222675,0.065,0.9996038038184671,0.11128934957732614,1.0,0.0,0.0,0.30889559812022027
verified_plus_mo,verified_plus_mo,100,9.120106461455649,0.5788490824078042,2.597731687022267,0.0665,0.9996038038184671,0.1139477722947428,0.99,0.01,0.01,0.31022258224720445
naive_proxy,naive_score,100,9.236236908012419,0.5785898312689636,2.6243800870222667,0.12,0.9992801192141052,0.15779638787182843,0.96,0.03,0.04,0.30492668716831905
protected_final,final_score,250,8.82568404066539,0.5742072860023528,2.6618412081422407,0.0522,0.9993355753239541,0.11367246922835951,1.0,0.0,0.0,0.32768448042714704
no_audit_status,no_audit_status_score,250,8.82568404066539,0.5742072860023528,2.6618412081422407,0.0522,0.9993355753239541,0.11367246922835951,1.0,0.0,0.0,0.32768448042714704
no_veto,no_veto_score,250,8.82568404066539,0.5742072860023528,2.6618412081422407,0.0522,0.9993355753239541,0.11367246922835951,1.0,0.0,0.0,0.32768448042714704
no_risk_penalty,no_risk_penalty_score,250,8.902182476097414,0.5711198832660767,2.671589794808907,0.076,0.9995201508657144,0.1267131607651656,1.0,0.0,0.0,0.3250831601767902
verified_plus_mo,verified_plus_mo,250,8.91494968794452,0.5745325845218356,2.6544107814755744,0.07779999999999998,0.9995201508657144,0.13153580660121425,0.984,0.016,0.016,0.32564835822927896
naive_proxy,naive_score,250,8.997842909901301,0.5590045195705515,2.7182824614755736,0.107,0.9986113228778729,0.15042911465034245,0.94,0.048,0.06,0.32820938627589546
