smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket
O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.351509624870413,0.011703260459658473,0.5170252665618642,402.2520000000001,3.8076000000000008,100.03,3,6,3,7,0.17647058823529413,0,0.0,2.6483466666666677,False,,0,,0,,0,,1.0,0.8343145743145743,1.0,0.2727272727272727,Afatinib,0.0,0.7272727272727273,0.9546851238958424,0.6325044094295381,1.0,0.9318181818181819,0.6325044094295381,0.8797519287858906,1.0,0.3674955905704619,0.6325044094295381,0.09991092681326907,9.333954734180926,0.13742032538539345,-0.0,0.26818181818181813,9.739556877748138,0.0,0.0,0.0,0.08436948821307737,0.0,0.08436948821307737,0.0,low,,9.65518738953506,True,pass,False,,0.991,0.72,0.761,0.5005,0.5615,0.971,0.8915,0.692,0.8041999999999999,0.8084499999999999,10.704596877748138,3,0.0,10.625327389535059,0,1,0,2,lead
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.01703456571772799,0.5737333346179045,469.38700000000017,3.7119000000000018,73.39,2,6,4,6,0.3181818181818182,0,0.0,3.1959133333333347,False,,0,,0,,0,,1.0,0.8576411290322581,1.0,0.4074074074074074,Gefitinib,0.0,0.5925925925925926,0.9652653492881086,0.6426335904501039,1.0,0.8981481481481481,0.6426335904501039,0.8765117719715902,1.0,0.35736640954989607,0.6426335904501039,0.1183381030886913,9.38320633258548,0.1261645164360862,-0.0,0.22777777777777775,9.737148626799344,0.0,0.0,0.0,0.0717080119373701,0.0,0.0717080119373701,0.0,low,,9.665440614861975,True,pass,False,,0.995,0.789,0.613,0.5005,0.5615,0.974,0.8915,0.472,0.7976,0.7945000000000001,10.694268626799344,4,0.0,10.618840614861975,0,2,0,2,lead
OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730815,0.027208927209164405,0.5122032504279255,390.2410000000001,2.2959999999999994,103.19,4,7,3,6,0.1875,0,0.0,2.8182733333333343,False,,0,,0,,0,,1.0,0.8094848926316788,1.0,0.30666666666666664,Sunvozertinib,0.0,0.6933333333333334,0.9455985826362888,0.6233166595302309,1.0,0.9233333333333333,0.6233166595302309,0.8730621438749633,1.0,0.37668334046976915,0.6233166595302309,0.09671525168176742,9.31776593591707,0.10821225042792533,-0.0,0.25799999999999995,9.683978186344994,0.0,0.0,0.0,0.09585417558721145,0.0,0.09585417558721145,0.0,low,,9.588124010757783,True,pass,False,,0.992,0.71,0.711,0.5005,0.5615,0.963,0.8915,0.224,0.79515,0.77805,10.638158186344995,5,0.0,10.521784010757782,0,3,0,2,lead
CN1Cc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,8.646586913726878,0.014724530259465976,0.7624174722839622,341.21200000000005,4.085700000000002,41.05,1,4,4,2,0.125,0,0.0,2.0,False,,0,,0,,0,,1.0,0.7453160223762211,1.0,0.36,Gefitinib,0.0,0.64,0.7763395572500934,0.7924065328331023,1.0,0.91,0.7763395572500934,0.8696865225207989,1.0,0.2236604427499066,0.7763395572500934,-0.12446262036094069,8.624500118337679,0.4749174722839622,-0.0,0.242,9.341417590621642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,,9.341417590621642,True,pass,False,,0.945,0.96,0.923,0.5005,0.5615,0.994,0.8915,0.552,0.8557999999999999,0.8421500000000001,10.368377590621641,8,0.0,10.351997590621643,0,4,0,4,lead
C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C(F)(F)F)c3)C21,8.983550673534742,0.019288599045884813,0.825307569866595,346.312,3.257500000000001,65.85,2,4,3,3,0.11764705882352941,0,0.0,2.25,False,,0,,0,,1,acrylamide_like,1.0,0.7327598418605848,1.0,0.26582278481012656,Sunvozertinib,0.0,0.7341772151898734,0.8573856490515661,0.8173807018881658,0.92,0.9335443037974683,0.8173807018881658,0.8820776636843001,0.9335443037974683,0.11616360190930253,0.8838363980906975,-0.03292268617697858,8.954617774965914,0.499572275748948,-0.0,0.270253164556962,9.724443215271824,0.0,0.0,0.0,0.0,0.1,0.2125,0.15,low,reactive_warhead_could_inflate_proxy_score,9.511943215271824,True,pass,False,,0.982,0.988,0.849,0.5005,0.5615,1.0,0.777,0.397,0.8669499999999999,0.83145,10.764783215271825,1,0.0,10.284683215271825,0,5,4,0,lead
C=C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.97122592036781,0.004310728081535419,0.49556314840186966,395.26000000000005,4.384700000000002,67.77000000000001,1,5,3,6,0.05263157894736842,0,0.0,2.501733333333334,False,,0,,0,,0,,1.0,0.8322453861927546,1.0,0.3466666666666667,Sunvozertinib,0.0,0.6533333333333333,0.8647889704348779,0.6263392188005155,1.0,0.9133333333333333,0.6263392188005155,0.8511153806421816,1.0,0.37366078119948454,0.6263392188005155,0.018231453056928304,8.964759828245509,0.1255663062966064,-0.0,0.24599999999999994,9.336326134542116,0.0,0.0,0.0,0.09207597649935569,0.0,0.09207597649935569,0.0,low,,9.24425015804276,True,pass,False,,0.979,0.682,0.793,0.5005,0.5615,0.968,0.8915,0.965,0.796,0.8157,10.291526134542115,9,0.0,10.22309015804276,0,6,0,3,lead
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.04475888359570909,0.6214205553234822,425.8950000000001,4.172800000000003,61.36000000000001,1,5,4,5,0.22727272727272727,0,0.0,2.8059666666666674,False,,0,,0,,1,acrylamide_like,1.0,0.7758626668978671,1.0,0.3258426966292135,Osimertinib,0.0,0.6741573033707865,0.9222834830992132,0.6838595105561203,0.92,0.9185393258426966,0.6838595105561203,0.8611705798745075,0.9222834830992132,0.2384239725430929,0.7615760274569071,0.08148387096627419,9.247320481071274,0.22325282805075483,-0.0,0.25224719101123594,9.722820500133265,0.0,0.0,0.0,0.0,0.1,0.2125,0.15,low,reactive_warhead_could_inflate_proxy_score,9.510320500133265,True,pass,False,,0.99,0.839,0.719,0.5005,0.5615,0.992,0.777,0.046,0.8212499999999999,0.78015,10.708320500133265,2,0.0,10.221500500133265,0,7,5,0,lead
C=CC(=O)Nc1ccc2ncnc(Cc3ccc(F)c(Cl)c3)c2c1,8.9730483560758,0.020362522305836885,0.7255853313987474,341.7730000000001,4.137600000000003,54.88,1,3,3,4,0.05555555555555555,0,0.0,2.0,False,,0,,0,,1,acrylamide_like,1.0,0.760495672260722,1.0,0.5230769230769231,Sunvozertinib,0.0,0.4769230769230769,0.8540083234048642,0.7721488553462341,0.92,0.8692307692307693,0.7721488553462341,0.8538469869954669,0.92,0.14785114465376592,0.8521488553462341,0.000215115212529704,8.942504572617045,0.4311408869543029,-0.0,0.1930769230769231,9.56672238264827,0.0,0.0,0.0,0.0,0.1,0.2125,0.15,low,reactive_warhead_could_inflate_proxy_score,9.35422238264827,True,pass,False,,0.98,0.93,0.923,0.5005,0.5615,0.999,0.777,0.364,0.8655499999999999,0.8278000000000001,10.605382382648271,6,0.0,10.12258238264827,0,8,2,0,lead
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.64989237496807,0.014522111129329662,0.6856015491097459,370.21000000000004,3.655400000000002,79.8,2,5,3,4,0.0,0,0.0,2.1347333333333336,False,,0,,0,,1,acrylamide_like,1.0,0.8456365355366465,1.0,0.5483870967741935,Sunvozertinib,0.0,0.4516129032258065,0.7773076159514868,0.7449757238052321,0.92,0.8629032258064516,0.7449757238052321,0.8262966413907926,0.92,0.1750242761947679,0.8249757238052321,-0.06531870058574119,8.628109208274076,0.36539154910974586,-0.0,0.18548387096774194,9.178984628351563,0.0,0.0,0.0,0.0,0.1,0.1,0.0,low,,9.078984628351563,True,pass,False,,0.947,0.902,0.886,0.5005,0.5615,0.998,0.8915,0.565,0.8395499999999999,0.8314,10.186444628351563,10,0.0,10.076664628351564,0,9,0,1,lead
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.93329396907761,0.017730303544814443,0.6930161654077002,372.7870000000001,3.5412000000000017,77.00000000000001,1,5,3,5,0.1111111111111111,0,0.0,2.2519133333333343,False,,0,,0,,1,acrylamide_like,1.0,0.7881581641450063,1.0,0.5342465753424658,Osimertinib,0.0,0.4657534246575342,0.8459122797880324,0.7445468396921837,0.92,0.8664383561643836,0.7445468396921837,0.8442243689111499,0.92,0.17545316030781632,0.8245468396921837,0.0022505478358432196,8.906698513760388,0.3663402765188112,-0.0,0.18972602739726024,9.462764817676458,0.0,0.0,0.0,0.0,0.1,0.2125,0.15,low,reactive_warhead_could_inflate_proxy_score,9.250264817676458,True,pass,False,,0.973,0.905,0.848,0.5005,0.5615,0.997,0.777,0.448,0.84615,0.81845,10.478144817676458,7,0.0,10.007404817676457,0,10,3,0,lead
